smiles,name,Delta_G_ts,omega_ground_state,omega_transition_state
[H]C([H])=C([H])C(=O)N([H])c1c(Cl)nc([H])nc1Cl,ZINC000236063944,12.6528,0.9991,1.329
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],ZINC000232785280,18.3805,0.9122,1.2121
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],ZINC000232785343,18.3118,0.9122,1.2109
[H]C([H])=C([H])C(=O)N([H])C([H])(C(=O)N([H])[H])C([H])([H])[H],ZINC000036334999,17.4772,0.9277,1.2041
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C(F)(F)Br,ZINC000307101647,15.3026,1.0161,1.2461
[H]C([H])=C([H])C(=O)N([H])c1c(Br)nc([H])c(C([H])([H])[H])c1[H],ZINC000306490635,12.6525,1.1758,1.3398
[H]C([H])=C([H])C(=O)N([H])c1nc([H])c(Cl)c([H])c1C([H])([H])[H],ZINC000306424062,14.2278,1.1169,1.3304
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C([H])(N([H])[H])C1([H])C([H])([H])[H],ZINC000306463337,17.4397,0.8987,1.1871
[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])nc(Br)c1[H],ZINC000306365907,11.7684,1.235,1.3797
[H]C([H])=C([H])C(=O)N([H])OC([H])(C([H])([H])[H])C([H])([H])[H],ZINC000137315021,15.3109,0.9746,1.2519
[H]C([H])=C([H])C(=O)N([H])c1c(Br)nc([H])c(Cl)c1[H],ZINC000307414331,11.4561,1.2501,1.3831
[H]C([H])=C([H])C(=O)N(c1nnnn1C([H])([H])[H])C([H])([H])[H],ZINC000306679544,10.9376,1.1396,1.3145
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C1(N([H])[H])C([H])([H])C([H])([H])C1([H])[H],ZINC000236195589,17.2301,0.9235,1.2109
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])(Cl)Cl,ZINC000139125899,15.0764,0.9903,1.2336
[H]C([H])=C([H])C(=O)N([H])C([H])([H])c1onc([H])c1[H],ZINC000231883917,15.9899,0.9713,1.237
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])(C([H])([H])[H])N(C([H])([H])[H])C([H])(C([H])([H])[H])C1([H])[H],ZINC000128615140,16.7745,0.9304,1.2024
[H]O[SH]([O])OC(N([H])C(=O)C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])[H],ZINC000216645802,15.2938,0.9664,1.245
[H]C([H])=C([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])[H],ZINC000328596855,17.5065,0.9304,1.2234
[H]C([H])=C([H])C(=O)N(C([H])([H])C([H])([H])c1nc([H])c([H])s1)C([H])(C([H])([H])[H])C([H])([H])[H],ZINC000328600714,16.7991,0.9559,1.2053
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C1(C([H])([H])S(=O)(=O)C([H])([H])[H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],ZINC000328598919,15.38,0.9541,1.2228
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C([H])(OC([H])([H])[H])C1([H])[H],ZINC000234778888,17.3067,0.9343,1.1922
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C(=O)c1c([H])c([H])c([H])c2c1OC([H])([H])C([H])([H])O2,ZINC000521394727,16.8446,0.9413,1.2189
[H]C([H])=C([H])C(=O)N([H])C([H])(C#N)C([H])(C([H])([H])[H])C([H])([H])[H],ZINC000328600295,15.2106,1.0149,1.2541
[H]C([H])=C([H])C(=O)N(C([H])([H])c1nc([H])c([H])s1)C([H])([H])C([H])([H])[H],ZINC000328597135,15.7435,0.9719,1.2064
