smiles,score,name
CC=C[CH+:1]C,5.0400762218,baldiELEC229
CC(C)(C)[C:1](=O)C(C)(C)C,-31.4209367338,baldiELEC230
CCCC(=C[C+:1](C)CC)CC,-0.556250267,baldiELEC231
CC[C:1](=NC(C)C)C,-37.2724727737,baldiELEC232
CCC[C+:1](CCC)C=CCC,2.061073495,baldiELEC233
CC[C:1](=O)NCC,-34.9471964223,baldiELEC234
CCCC(=[C:1](c1ccccc1)C(C)C)[N+](=O)[O-],-16.8537950694,baldiELEC235
C[C:1](=O)C,-25.7668765018,baldiELEC236
CC[CH:1]=C(CC)C(=O)C,-21.25225934570384,baldiELEC237
CC[C:1](=O)OCC(C)C,-30.8053298751,baldiELEC238
CCC(C(C)C)[C:1](=O)C,-31.5074239705,baldiELEC239
CCC[C:1](=O)C(C)C,-29.0409006173,baldiELEC240
CO[C:1](=O)Cc1ccccc1,-28.8398140284,baldiELEC241
CC(C)(C)C[C+:1](c1ccccc1)C(C)(C)C,0.0572950667,baldiELEC242
CCC[N+](=[C:1](C)CC)CCC,-14.7012322635,baldiELEC243
CCC(C(C)C)[C:1](=O)CC,-34.63336674881872,baldiELEC244
CCC(C)[C:1](=O)OC(C)CC,-31.5982414314,baldiELEC245
CC(C)C[C:1](=O)OC,-30.5480170829,baldiELEC246
CCC[O+]=[CH:1]C(C)C,3.0855987485,baldiELEC247
C[C:1](=[NH2+])Cc1ccccc1,-9.0763525929,baldiELEC248
CCC[C:1](=O)N(C)C,-35.156293315,baldiELEC249
CCC[CH:1]=C(CC)C(=O)CC,-22.1746135232,baldiELEC250
C[C:1](=NC)C,-34.2356471643,baldiELEC251
CCC[CH:1]=N,-32.2643685452,baldiELEC252
CCCN(Cc1ccccc1)[CH:1]=O,-34.8396636647,baldiELEC253
CC[C:1](=C[N+](=O)[O-])C(C)C,-16.7216207434,baldiELEC254
CC[N+](=[CH2:1])CC,-6.8063797063,baldiELEC255
CCC[C:1](=C(C)C#N)C,-25.8330925441,baldiELEC256
CC[C:1](=C(C)C(=O)C)C,-23.311991258172995,baldiELEC257
CC(C)[O+]=[CH2:1],7.6724414822,baldiELEC258
CC(C)C[C:1](=O)C(C)(C)C,-30.8904026891,baldiELEC259
