name,real_name,smiles,prod_smiles,MCA*,MCA*.1,S(N)¥N,s(N),N,solvent,M+,Other Condn
mca75,1-(Phenylethynyl)pyrrolidin-2-one,O=C(CCC1)N1C#CC2=CC=CC=C2,O=C(CCC1)[N+]1=C=C(C)C2=CC=CC=C2,393.2527975,,2.652,0.85,3.12,DCM,,
mca76,Methylenecyclopentane,C=C1CCCC1,CCC1CCCC1,361.0765413,,2.538,0.9,2.82,DCM,,
mca77,Alphamethylstyrene,C=C(C)C1=CC=CC=C1,C[C+](CC)C1=CC=CC=C1,362.2682244,,2.35,1.0,2.35,DCM,,
mca78,Acetonitrile,CC#N,CC#[N+]C,341.5730817,,1.848,0.84,2.2,DCM,,
mca79,1-Methyl-4-vinylbenzene,CC1=CC=C(C=C)C=C1,CC1=CC=C([CH+]CC)C=C1,359.1537116,,1.802,1.06,1.7,DCM,,
mca80,Furan,C1=CC=CO1,CC1[O+]=CC=C1,365.6461357,,1.7157,1.29,1.33,DCM,,
mca81,Allyltrimethylsilane,C=CC[Si](C)(C)C,CC[CH+]C[Si](C)(C)C,382.4489949,,1.68,1.0,1.68,DCM,,
mca82,Isobutylene,CC(C)=C,C[C+](C)CC,345.7916048,,1.0878,0.98,1.11,DCM,,
mca83,Isoprene ,C=C(C)C=C,C[C+](CC)C=C,348.2621444,,1.078,0.98,1.1,DCM,,
mca84,2-Methylbutene,C/C=C(C)/C,CC(C)[C+](C)C,344.8625691,,0.7605,1.17,0.65,DCM,,
mca85,Phenylacetylene,C#CC1=CC=CC=C1,CC=[C+]C1=CC=CC=C1,355.5176429,,-0.0308,0.77,-0.04,DCM,,
mca86,Allylboron Ester,C=CCB1OC(C)(C)C(C)(C)O1,CC(O1)(C)C(C)(C)OB1C[CH+]CC,329.0989101,,-0.704,1.1,-0.64,DCM,,
mca87,Butadiene,C=CC=C,CC[CH+]C=C,325.3335844,,-0.87,1.0,-0.87,DCM,,
mca88,Thiophene,C1=CC=CS1,CC1[S+]=CC=C1,339.8652393,,-1.111,1.1,-1.01,DCM,,
mca89,Tetramethylethylene ,C/C(C)=C(C)/C,CC(C)(C)[C+](C)C,341.7377127,,-1.4,1.4,-1.0,DCM,,
mca90,Anisole,COC1=CC=CC=C1,CC1C=CC(OC)=C[CH+]1,326.4075551,,-1.416,1.2,-1.18,DCM,,
mca91,Propene,C=CC,C[CH+]CC,309.8202521,,-2.41,1.0,-2.41,DCM,,
mca92,E-But-2-ene ,C/C=C/C,CC(C)[CH+]C,311.6916646,,-2.695,1.1,-2.45,DCM,,
mca93,"1,4-Pentadiene (C-H donor)",C=CCC=C,C=C[CH+]C=C,280.7980753,,-2.9003,0.97,-2.99,DCM,,
mca94,"3,3,3-trifluoro-2-(trimethylsiloxy)propene",C=C(O[Si](C)(C)C)C(F)(F)F,C[Si](C)(C)O[C+](C(F)(F)F)CC,328.3692003,,-3.2634,1.11,-2.94,DCM,,
mca95,1-Hexene,C=CCCCC,CCCC[CH+]CC,322.7603217,,-3.9057,1.41,-2.77,DCM,,
mca96,Diethyl ether (C-H donor),CCOCC,CC=[O+]CC.C[H],342.2351075,,-4.08,0.8,-5.1,DCM,,
mca97,2-Chloropropene,C=C(C)Cl,Cl[C+](C)CC,312.0998579,,-7.1905,1.97,-3.65,DCM,,
mca98,m-Xylene,CC1=CC(C)=CC=C1,CC1=C[C+](C)C(C)([H])C=C1,308.4518688,,-7.4256,2.08,-3.57,DCM,,
mca99,Toluene,CC1=CC=CC=C1,C[C+]1C=CC(C)C=C1,290.2752344,,-7.7172,1.77,-4.36,DCM,,
