SMIRKS,Source type,Sink type,Ref
C[C+:20](C)C1=CC=CC=C1.C1=CC=[N:10]C=C1>>C[C:20](C)(C1=CC=CC=C1)[N+:10]2=CC=CC=C2 10=20,N=C pyridine,C+ carbenium,"Katritzky, Alan R.; Brycki, Bogumil[Journal of the American Chemical Society, 1986, vol. 108, # 23, p. 7295 - 7299]"
CN(C)C1=CC=[N:10]C=C1.C2([CH+:20]C3=CC=C(N4CCOCC4)C=C3)=CC=C(N5CCOCC5)C=C2>>CN(C)C6=CC=[N+:10]([CH:20](C7=CC=C(N8CCOCC8)C=C7)C9=CC=C(N%10CCOCC%10)C=C9)C=C6 10=20,N=C pyridine,C+ carbenium,"Schaller, H. F.; Mayr, H. Angew. Chem. Int. Ed. 2008, 47, 3958-3961"
COC1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3.C1C2C([NH:10]2)C3=C1C=CC=C3>>COC1=CC=C(C=C1)[C:20](C2=CC=CC=C2)(C3=CC=CC=C3)[NH+:10]4C5C4C6=C(C5)C=CC=C6 10=20,N amine,C+ carbenium,"Vedejs; Klapars; Warner; Weiss Journal of Organic Chemistry, 2001, 66, 7542 - 7546"
C1C2C([NH:10]2)C3=C1C=CC=C3.C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3>>C1C2C([NH+:10]2[C:20](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)C6=C1C=CC=C6 10=20,N amine,C+ carbenium,"Vedejs; Klapars; Warner; Weiss[Journal of Organic Chemistry, 2001, vol. 66, # 22, p. 7542 - 7546]"
"COC1=CC=C(C=C1)[CH:20]=[N+:21]2CCCCC2.C1CC[NH:10]CC1>>COC1=CC=C(C=C1)[CH:20]([NH+:10]2CCCCC2)[N:21]3CCCCC3 10=20;20,21=21",N amine,C=N+ iminium,"Sakai, Norio; Hori, Hiroaki; Yoshida, Yoshihiro; Konakahara, Takeo; Ogiwara, Yohei[Tetrahedron, 2015, vol. 71, # 29, p. 4722 - 4729]"
"C1CC([NH:10]C1)C(=O)N.C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F>>C1CC([NH+:10](C1)[C:20](C2=CC=CO2)([O-:21])OC3=C(C(=C(C(=C3F)F)F)F)F)C(=O)N 10=20;20,21=21",N amine,C=O ester,"RICHTER GEDEON VEGY€SZETI GYR RT.WO2007/39781, 2007, A2; page column 34"
"CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C.C(C[NH2:10])N>>CC(=CCC1=C(C=C(C=C1[CH:20]([NH2+:10]CCN)[O-:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C 10=20;20,21=21",N amine,C=O aldehyde,"Arredondo, V.A.; et al. Org. Lett. 2019, 21, 6, 1755"
"CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C.C1=CC=C(C=C1)C[CH:20]=[O:21]>>CC1([NH+:10](C(C(=O)N1C)CC2=CC=CC=C2)[CH:20](CC3=CC=CC=C3)[O-:21])C 10=20;20,21=21",N amine,C=O aldehyde,"Pier Giorgio Cozzi, Andrea Gualandi, Luca Mengozzi and Claire Margaret Wilson, Chapter 18:Imidazolidinones as Asymmetric Organocatalysts , in Sustainable Catalysis: Without Metals or Other Endangered Elements, Part 2, 2015, pp. 164-195"
"COCC(CC1=CC=CC=C1)[NH2:10].C1CC[C:20](=[O:21])CC1>>COCC(CC1=CC=CC=C1)[NH2+:10][C:20]2(CCCCC2)[O-:21] 10=20;20,21=21",N amine,C=O ketone,"Meyers,A.I.; Williams,D.R.; Erickson,G.W.[Journal of the American Chemical Society, 1981, vol. 103, p. 3081]"
"C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21]>>C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH+:10]4CCCCC[CH:20]4[O-:21] 10=20;20,21=21",N amine,C=O aldehyde,"Lu, Jun; Xu, Xuenong; Wang, Shaozhong; Wang, Cunde; Hu, Yuefei; Hu, Hongwen[J. Chem. Soc. Perkin 1 (2001), 2002, # 24, p. 2900 - 2903]"
